thr,tp,fp,fn,savings
0.05,1622,5766,8,-99990.00000000001
0.060000000000000005,1617,5585,13,-94785.00000000001
0.07,1616,5384,14,-88800.00000000001
0.08000000000000002,1610,5208,20,-83790.0
0.09000000000000001,1603,5027,27,-78675.0
0.1,1597,4865,33,-74085.00000000001
0.11000000000000001,1592,4700,38,-69360.00000000001
0.12000000000000001,1588,4534,42,-64560.0
0.13,1581,4352,49,-59415.000000000015
0.14,1574,4191,56,-54900.0
0.15000000000000002,1566,4075,64,-51780.000000000015
0.16000000000000003,1557,3932,73,-47895.000000000015
0.17000000000000004,1551,3776,79,-43485.000000000015
0.18000000000000005,1545,3648,85,-39915.0
0.19,1534,3524,96,-36690.0
0.2,1523,3404,107,-33585.0
0.21000000000000002,1511,3280,119,-30405.0
0.22000000000000003,1500,3155,130,-27150.0
0.23000000000000004,1491,3054,139,-24525.0
0.24000000000000005,1479,2935,151,-21495.0
0.25000000000000006,1471,2821,159,-18435.0
0.26000000000000006,1463,2730,167,-16065.0
0.27,1454,2625,176,-13320.0
0.28,1442,2522,188,-10770.000000000015
0.29000000000000004,1435,2440,195,-8625.0
0.30000000000000004,1420,2357,210,-6810.0
0.31000000000000005,1414,2288,216,-5010.0
0.32000000000000006,1404,2214,226,-3240.0
0.33,1392,2141,238,-1590.0000000000146
0.34,1378,2081,252,-420.0
0.35000000000000003,1366,2009,264,1200.0
0.36000000000000004,1355,1949,275,2505.0
0.37000000000000005,1341,1884,289,3825.0
0.38000000000000006,1330,1819,300,5280.0
0.39000000000000007,1322,1758,308,6749.999999999985
0.4000000000000001,1314,1697,316,8220.0
0.4100000000000001,1305,1636,325,9645.0
0.42000000000000004,1291,1563,339,11205.0
0.43000000000000005,1279,1500,351,12555.0
0.44000000000000006,1267,1444,363,13694.999999999985
0.45000000000000007,1256,1397,374,14610.0
0.4600000000000001,1241,1332,389,15885.0
0.4700000000000001,1229,1291,401,16575.0
0.4800000000000001,1218,1241,412,17580.0
0.49000000000000005,1207,1193,423,18524.999999999985
0.5000000000000001,1190,1132,440,19590.0
0.5100000000000001,1171,1087,459,20085.0
0.5200000000000001,1152,1042,478,20579.999999999985
0.5300000000000001,1133,1017,497,20475.0
0.5400000000000001,1114,986,516,20550.0
0.5500000000000002,1095,945,535,20925.0
0.5600000000000002,1085,904,545,21705.0
0.5700000000000002,1070,856,560,22470.0
0.5800000000000002,1060,822,570,23040.0
0.5900000000000002,1040,782,590,23340.0
0.6000000000000002,1033,738,597,24345.0
0.6100000000000001,1016,703,614,24630.0
0.6200000000000001,1005,662,625,25365.0
0.6300000000000001,991,628,639,25755.0
0.6400000000000001,978,600,652,26010.0
0.6500000000000001,963,567,667,26325.0
0.6600000000000001,945,531,685,26595.0
0.6700000000000002,921,488,709,26805.0
0.6800000000000002,909,467,721,26895.0
0.6900000000000002,892,437,738,27029.999999999985
0.7000000000000002,879,406,751,27375.0
0.7100000000000002,862,376,768,27509.999999999993
0.7200000000000002,851,356,779,27614.999999999993
0.7300000000000002,829,319,801,27735.0
0.7400000000000002,802,299,828,27120.0
0.7500000000000002,789,274,841,27285.0
0.7600000000000002,766,252,864,26909.999999999993
0.7700000000000002,746,221,884,26939.999999999993
0.7800000000000001,727,204,903,26595.0
0.7900000000000001,703,186,927,26055.0
0.8000000000000002,695,174,935,26055.0
0.8100000000000002,679,158,951,25815.0
0.8200000000000002,658,150,972,25110.0
0.8300000000000002,646,141,984,24839.999999999993
0.8400000000000002,626,121,1004,24539.999999999993
0.8500000000000002,613,107,1017,24375.0
0.8600000000000002,596,93,1034,24029.999999999993
0.8700000000000002,567,88,1063,22875.0
0.8800000000000002,538,79,1092,21840.0
0.8900000000000002,520,69,1110,21330.0
0.9000000000000002,489,61,1141,20175.0
0.9100000000000003,464,52,1166,19320.0
0.9200000000000003,437,43,1193,18375.0
0.9300000000000002,399,37,1231,16844.999999999996
0.9400000000000002,358,31,1272,15179.999999999996
0.9500000000000002,321,22,1309,13785.0
